Driver,Nationality,Team,EXP,RAC,AWA,PAC,RTG
Antonio Giovinazzi,Italy,Alfa Romeo,54,81,81,78,78
Kimi Raikkonen,Finland,Alfa Romeo,99,92,84,86,88
Pierre Gasly,France,Alphatauri,59,91,99,89,90
Yuki Tsunoda,Japan,Alphatauri,43,88,78,81,80
Esteban Ocon,France,Alpine,60,93,98,79,86
Fernando Alonso,Spain,Alpine,99,89,94,86,89
Lance Stroll,Canada,Aston Martin,62,93,82,82,83
Sebastian Vettel,Germany,Aston Martin,91,93,87,88,89
Carlos Sainz,Spain,Ferrari,69,88,94,85,87
Charles Leclerc,Monaco,Ferrari,62,88,87,92,88
Mick Schumacher,Germany,Haas,47,65,81,83,76
Nikita Mazepin,Russia,Haas,47,65,78,66,67
Daniel Ricciardo,Australia,McLaren,80,94,91,88,90
Lando Norris,England,McLaren,60,96,99,89,91
Lewis Hamilton,England,Mercedes,92,94,89,98,95
Valteri Bottas,Finland,Mercedes,75,89,99,92,92
Max Verstappen,The Netherlands,Red Bull,69,96,96,97,95
Sergio Perez,Mexico,Red Bull,81,92,84,87,87
George Russell,England,Williams,90,76,99,83,84
Nicholas Latifi,Canada,Williams,55,69,79,70,71
